6,6
6,48
12,48
12,6
18,6
18,48
24,48
24,6
30,6
30,48
36,48
36,6
42,6
42,48
48,48
48,6
54,6
54,48
60,48
60,6
66,6
66,48
72,24
72,6
78,6
78,180
84,180
84,6
90,6
90,180
96,180
96,66
102,66
102,180
108,180
108,66
114,66
114,180
120,180
120,144
126,144
126,180
132,180
132,144
138,144
138,180
144,180
144,6
150,6
150,180
156,180
156,6
162,6
162,180
168,180
168,6
138,6
138,138
132,120
132,6
126,6
126,120
120,120
120,6
114,6
114,60
108,42
108,6
102,6
102,42
96,42
96,6
72,180
72,66
66,66
66,180
60,180
60,60
66,60
66,60
54,60
54,180
48,180
48,144
42,144
42,180
36,180
36,144
30,144
30,180
24,180
24,144
18,144
18,180
12,180
12,144
6,144
6,180
48,132
48,60
42,60
42,132
36,132
36,60
30,60
30,132
24,132
24,60
18,60
18,132
12,132
12,60
6,60
6,132
